 10.2.2.0 - 10.2.2.255 ( United Kingdom, London )
 10.143.7.0 - 10.143.7.255 ( Canada, Ontario, Kingston )
 10.143.8.0 - 10.143.8.255 ( Canada, Ontario, Scarborough )
 10.143.9.0 - 10.143.9.255 ( Canada, Ontario, London )
 10.143.10.0 - 10.143.10.255 ( Canada, Ontario, Woodstock )
 10.143.11.0 - 10.143.11.255 ( Canada, Ontario, Burlington )
 10.143.12.0 - 10.143.12.255 ( Canada, Ontario, Toronto )
 10.143.35.0 - 10.143.35.255 ( Canada, Ontario, Brantford )
 10.143.36.0 - 10.143.36.255 ( Canada, Ontario, Brampton )
 10.143.37.0 - 10.143.37.255 ( Canada, Ontario, Scarborough )
 10.143.40.0 - 10.143.40.255 ( Canada, Ontario, Oakville )
 10.143.41.0 - 10.143.41.255 ( Canada, Ontario, Oakville )
 10.143.42.0 - 10.143.42.255 ( Canada, Ontario, Burlington )
 10.143.43.0 - 10.143.43.255 ( Canada, Ontario, London )
 10.143.44.0 - 10.143.44.255 ( Canada, Ontario, Burlington )
 10.143.46.0 - 10.143.46.255 ( Canada, Ontario, Oshawa )
 10.143.47.0 - 10.143.47.255 ( Canada, Ontario, Barrie )
 10.143.49.0 - 10.143.49.255 ( Canada, Ontario, Toronto )
 10.143.51.0 - 10.143.51.255 ( Canada, Ontario, Stoney Creek )
 10.143.52.0 - 10.143.52.255 ( Canada, Ontario, Aurora )
 10.143.53.0 - 10.143.53.255 ( Canada, Ontario, Oakville )
 10.143.54.0 - 10.143.54.255 ( Canada, Ontario, Brantford )
 10.143.55.0 - 10.143.55.255 ( Canada, Ontario, Brampton )
 10.143.57.0 - 10.143.57.255 ( Canada, Ontario, Guelph )
 10.143.58.0 - 10.143.58.255 ( Canada, Ontario, Brantford )
 10.143.64.0 - 10.143.64.255 ( Canada, Ontario, London )
 10.143.66.0 - 10.143.66.255 ( Canada, Ontario, London )
 10.143.68.0 - 10.143.68.255 ( Canada, Ontario, Sudbury )
 10.143.70.0 - 10.143.70.255 ( Canada, Ontario, Hamilton )
 10.143.72.0 - 10.143.72.255 ( Canada, Ontario, Guelph )
 10.143.74.0 - 10.143.74.255 ( Canada, Ontario, Toronto )
 10.143.75.0 - 10.143.75.255 ( Canada, Ontario, Toronto )
 10.143.76.0 - 10.143.76.255 ( Canada, Ontario, Kingston )
 10.143.77.0 - 10.143.77.255 ( Canada, Ontario, Toronto )
 10.143.78.0 - 10.143.78.255 ( Canada, Ontario, Scarborough )
 10.144.46.0 - 10.144.46.255 ( Canada, Ontario, Toronto )
 10.145.188.0 - 10.145.188.255 ( Canada, Ontario, Toronto )
 10.147.0.0 - 10.147.0.255 ( Canada, Ontario, St Catharines )
 10.147.4.0 - 10.147.4.255 ( Canada, Ontario, Brampton )
 10.147.5.0 - 10.147.5.255 ( Canada, Ontario, Keswick )
 10.147.7.0 - 10.147.7.255 ( Canada, Ontario, Mississauga )
 10.147.8.0 - 10.147.8.255 ( Canada, Ontario, Bracebridge )
 10.147.9.0 - 10.147.9.255 ( Canada, Ontario, London )
 10.147.10.0 - 10.147.10.255 ( Canada, Ontario, Clinton )
 10.147.11.0 - 10.147.11.255 ( Canada, Ontario, Woodstock )
 10.147.12.0 - 10.147.12.255 ( Canada, Ontario, London )
 10.147.13.0 - 10.147.13.255 ( Canada, Ontario, Brampton )
 10.147.15.0 - 10.147.15.255 ( Canada, Ontario, Woodbridge )
 10.147.16.0 - 10.147.16.255 ( Canada, Ontario, Toronto )
 10.147.35.0 - 10.147.35.255 ( Canada, Ontario, Dunnville )
 10.147.36.0 - 10.147.36.255 ( Canada, Ontario, Mississauga )
 10.147.37.0 - 10.147.37.255 ( Canada, Ontario, Toronto )
 10.147.38.0 - 10.147.38.255 ( Canada, Ontario, Markham )
 10.147.39.0 - 10.147.39.255 ( Canada, Ontario, Thornhill )
 10.147.41.0 - 10.147.41.255 ( Canada, Ontario, Mississauga )
 10.147.42.0 - 10.147.42.255 ( Canada, Ontario, Mississauga )
 10.147.43.0 - 10.147.43.255 ( Canada, Ontario, Streetsville )
 10.147.44.0 - 10.147.44.255 ( Canada, Ontario, Etobicoke )
 10.147.46.0 - 10.147.46.255 ( Canada, Ontario, Port Perry )
 10.147.47.0 - 10.147.47.255 ( Canada, Ontario, Stratford )
 10.147.49.0 - 10.147.49.255 ( Canada, British Columbia, Vancouver )
 10.147.50.0 - 10.147.50.255 ( Canada, Ontario, Etobicoke )
 10.147.51.0 - 10.147.51.255 ( Canada, Ontario, Etobicoke )
 10.147.53.0 - 10.147.53.255 ( Canada, Ontario, Markham )
 10.147.54.0 - 10.147.54.255 ( Canada, Ontario, East Gwillimbury )
 10.147.55.0 - 10.147.55.255 ( Canada, Ontario, St. Catherines )
 10.151.0.0 - 10.151.0.255 ( Canada, Ontario, Hamilton )
 10.151.1.0 - 10.151.1.255 ( Canada, Ontario, Hamilton )
 10.151.2.0 - 10.151.2.255 ( Canada, Ontario, Cambridge )
 10.151.3.0 - 10.151.3.255 ( Canada, Ontario, Waterloo )
 10.151.4.0 - 10.151.4.255 ( Canada, Ontario, Toronto )
 10.151.5.0 - 10.151.5.255 ( Canada, Ontario, Burlington )
 10.151.6.0 - 10.151.6.255 ( Canada, Ontario, Markham )
 10.151.7.0 - 10.151.7.255 ( Canada, Ontario, Mississauga )
 10.151.8.0 - 10.151.8.255 ( Canada, Ontario, Whitby )
 10.151.9.0 - 10.151.9.255 ( Canada, Ontario, Kitchener )
 10.151.10.0 - 10.151.10.255 ( Canada, Ontario, Windsor )
 10.151.11.0 - 10.151.11.255 ( Canada, Ontario, Hastings )
 10.151.12.0 - 10.151.12.255 ( Canada, Ontario, Moorefield )
 10.151.13.0 - 10.151.13.255 ( Canada, Ontario, Norwood )
 10.151.14.0 - 10.151.14.255 ( Canada, Ontario, Waterloo )
 10.151.15.0 - 10.151.15.255 ( Canada, Ontario, Aurora )
 10.151.16.0 - 10.151.16.255 ( Canada, Ontario, Toronto )
 10.151.35.0 - 10.151.35.255 ( Canada, Ontario, Kitchener )
 10.151.36.0 - 10.151.36.255 ( Canada, Ontario, Richmond Hill )
 10.151.37.0 - 10.151.37.255 ( Canada, Ontario, Mississauga )
 10.151.38.0 - 10.151.38.255 ( Canada, Ontario, Mississauga )
 10.151.39.0 - 10.151.39.255 ( Canada, Ontario, Sudbury )
 10.151.40.0 - 10.151.40.255 ( Canada, Ontario, Peterborough )
 10.151.62.0 - 10.151.62.255 ( Canada, Ontario, St Catharines )
 10.151.68.0 - 10.151.68.255 ( Canada, Ontario, Toronto )
 10.151.69.0 - 10.151.69.255 ( Canada, Ontario, Toronto )
 10.151.74.0 - 10.151.74.255 ( Canada, Ontario, Brantford )
 10.153.16.0 - 10.153.16.255 ( Canada, Ontario, Oshawa )
 10.155.0.0 - 10.155.0.255 ( Canada, Ontario, Toronto )
 10.155.2.0 - 10.155.2.255 ( Canada, Ontario, Niagara Falls )
 10.155.3.0 - 10.155.3.255 ( Canada, Ontario, Welland )
 10.155.4.0 - 10.155.4.255 ( Canada, Ontario, Fonthill )
 10.155.5.0 - 10.155.5.255 ( Canada, Ontario, Woodbridge )
 10.155.6.0 - 10.155.6.255 ( Canada, Ontario, Brampton )
 10.155.7.0 - 10.155.7.255 ( Canada, Ontario, Scarborough )
 10.155.8.0 - 10.155.8.255 ( Canada, Ontario, Brampton )
 10.155.9.0 - 10.155.9.255 ( Canada, Ontario, Oshawa )
 10.155.10.0 - 10.155.10.255 ( Canada, Ontario, Etobicoke )
 10.155.11.0 - 10.155.11.255 ( Canada, Ontario, Welland )
 10.155.12.0 - 10.155.12.255 ( Canada, Ontario, Etobicoke )
 10.155.13.0 - 10.155.13.255 ( Canada, Ontario, Etobicoke )
 10.155.14.0 - 10.155.14.255 ( Canada, Ontario, Windsor )
 10.155.15.0 - 10.155.15.255 ( Canada, Ontario, Etobicoke )
 10.155.16.0 - 10.155.16.255 ( Canada, Ontario, Owen Sound )
 10.155.35.0 - 10.155.35.255 ( Canada, Ontario, Etobicoke )
 10.155.36.0 - 10.155.36.255 ( Canada, Ontario, Niagara Falls )
 10.155.37.0 - 10.155.37.255 ( Canada, Ontario, Etobicoke )
 10.155.39.0 - 10.155.39.255 ( Canada, Ontario, Courtice )
 10.155.40.0 - 10.155.40.255 ( Canada, Ontario, Orillia )
 10.155.41.0 - 10.155.41.255 ( Canada, Ontario, St Catharines )
 10.155.42.0 - 10.155.42.255 ( Canada, Ontario, Toronto )
 10.155.44.0 - 10.155.44.255 ( Canada, Ontario, London )
 10.155.45.0 - 10.155.45.255 ( Canada, Ontario, Richmond Hill )
 10.155.46.0 - 10.155.46.255 ( Canada, Ontario, Oshawa )
 10.155.47.0 - 10.155.47.255 ( Canada, Ontario, Markham )
 10.155.48.0 - 10.155.48.255 ( Canada, Ontario, Burlington )
 10.155.49.0 - 10.155.49.255 ( Canada, Ontario, Brampton )
 10.155.61.0 - 10.155.61.255 ( Canada, British Columbia, Burnaby )
 10.155.70.0 - 10.155.70.255 ( Canada, Ontario, Scarborough )
 10.156.14.0 - 10.156.14.255 ( Canada, Ontario, Leamington )
 10.156.18.0 - 10.156.18.255 ( Canada, Ontario, Wallaceburg )
 10.156.34.0 - 10.156.34.255 ( Canada, Ontario, Owen Sound )
 10.156.106.0 - 10.156.106.255 ( Canada, Ontario, Toronto )
 10.157.3.0 - 10.157.3.255 ( Canada, Ontario, Cambridge )
 10.157.4.0 - 10.157.4.255 ( Canada, Ontario, Newmarket )
 10.157.5.0 - 10.157.5.255 ( Canada, Ontario, Simcoe )
 10.157.6.0 - 10.157.6.255 ( Canada, Ontario, Mississauga )
 10.157.7.0 - 10.157.7.255 ( Canada, Ontario, Toronto )
 10.157.8.0 - 10.157.8.255 ( Canada, Ontario, Chatham )
 10.157.21.0 - 10.157.21.255 ( Canada, Ontario, Barrie )
 10.157.22.0 - 10.157.22.255 ( Canada, Ontario, Orangeville )
 10.157.23.0 - 10.157.23.255 ( Canada, Ontario, Etobicoke )
 10.157.24.0 - 10.157.24.255 ( Canada, Ontario, Woodbridge )
 10.157.25.0 - 10.157.25.255 ( Canada, Ontario, Brampton )
 10.157.26.0 - 10.157.26.255 ( Canada, Ontario, Pickering )
 10.157.27.0 - 10.157.27.255 ( Canada, Ontario, Woodbridge )
 10.157.28.0 - 10.157.28.255 ( Canada, Ontario, Acton )
 10.157.29.0 - 10.157.29.255 ( Canada, Ontario, Barrie )
 10.157.30.0 - 10.157.30.255 ( Canada, Ontario, North York )
 10.157.31.0 - 10.157.31.255 ( Canada, Ontario, Wasaga Beach )
 10.157.32.0 - 10.157.32.255 ( Canada, Ontario, Oakville )
 10.157.34.0 - 10.157.34.255 ( Canada, Ontario, Markham )
 10.157.35.0 - 10.157.35.255 ( Canada, Ontario, Thornhill )
 10.157.38.0 - 10.157.38.255 ( Canada, Ontario, Mississauga )
 10.157.40.0 - 10.157.40.255 ( Canada, Ontario, Alliston )
 10.157.41.0 - 10.157.41.255 ( Canada, Ontario, Toronto )
 10.157.43.0 - 10.157.43.255 ( Canada, Ontario, Whitby )
 10.157.44.0 - 10.157.44.255 ( Canada, Ontario, Toronto )
 10.157.45.0 - 10.157.45.255 ( Canada, Ontario, Toronto )
 10.157.48.0 - 10.157.48.255 ( Canada, Ontario, Oshawa )
 10.157.49.0 - 10.157.49.255 ( Canada, Ontario, Mississauga )
 10.157.50.0 - 10.157.50.255 ( Canada, Ontario, Richmond Hill )
 10.157.52.0 - 10.157.52.255 ( Canada, Ontario, Toronto )
 10.157.53.0 - 10.157.53.255 ( Canada, Ontario, Orillia )
 10.157.54.0 - 10.157.54.255 ( Canada, Ontario, Toronto )
 10.157.56.0 - 10.157.56.255 ( Canada, Ontario, Burlington )
 10.157.57.0 - 10.157.57.255 ( Canada, Ontario, Toronto )
 10.157.58.0 - 10.157.58.255 ( Canada, Ontario, Orleans )
 10.157.59.0 - 10.157.59.255 ( Canada, Ontario, Toronto )
 10.157.60.0 - 10.157.60.255 ( Canada, Ontario, Bolton )
 10.157.61.0 - 10.157.61.255 ( Canada, Ontario, Kitchener )
 10.157.62.0 - 10.157.62.255 ( Canada, Ontario, Waterloo )
 10.157.63.0 - 10.157.63.255 ( Canada, Ontario, Milton )
 10.157.64.0 - 10.157.64.255 ( Canada, Ontario, Mississauga )
 10.157.65.0 - 10.157.65.255 ( Canada, Ontario, Brampton )
 10.157.66.0 - 10.157.66.255 ( Canada, Ontario, Toronto )
 10.157.67.0 - 10.157.67.255 ( Canada, Ontario, Toronto )
 10.157.68.0 - 10.157.68.255 ( Canada, Ontario, Brampton )
 10.157.69.0 - 10.157.69.255 ( Canada, Ontario, Mississauga )
 10.157.72.0 - 10.157.72.255 ( Canada, Ontario, Toronto )
 10.157.255.0 - 10.157.255.255 ( Bahamas, New Providence, Nassau )
 10.158.5.0 - 10.158.5.255 ( Canada, Ontario, Milton )
 10.159.137.0 - 10.159.137.255 ( Canada, Ontario, Toronto )
 10.160.64.0 - 10.160.64.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.65.0 - 10.160.65.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.66.0 - 10.160.66.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.67.0 - 10.160.67.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.68.0 - 10.160.68.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.69.0 - 10.160.69.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.71.0 - 10.160.71.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.72.0 - 10.160.72.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.91.0 - 10.160.91.255 ( Trinidad and Tobago, Saint George, Tunapuna-Piarco )
 10.160.128.0 - 10.160.128.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.129.0 - 10.160.129.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.130.0 - 10.160.130.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.132.0 - 10.160.132.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.133.0 - 10.160.133.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.134.0 - 10.160.134.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.135.0 - 10.160.135.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.136.0 - 10.160.136.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.137.0 - 10.160.137.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.138.0 - 10.160.138.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.139.0 - 10.160.139.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.140.0 - 10.160.140.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.141.0 - 10.160.141.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.143.0 - 10.160.143.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.154.0 - 10.160.154.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.155.0 - 10.160.155.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.156.0 - 10.160.156.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.157.0 - 10.160.157.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.158.0 - 10.160.158.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.159.0 - 10.160.159.255 ( Trinidad and Tobago, Port-of-Spain, Port OF Spain )
 10.160.160.0 - 10.160.160.255 ( Trinidad and Tobago, Port-of-Spain, Port OF Spain )
 10.160.161.0 - 10.160.161.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.162.0 - 10.160.162.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.163.0 - 10.160.163.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.164.0 - 10.160.164.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.165.0 - 10.160.165.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.166.0 - 10.160.166.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.167.0 - 10.160.167.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.168.0 - 10.160.168.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.173.0 - 10.160.173.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.175.0 - 10.160.175.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.176.0 - 10.160.176.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.177.0 - 10.160.177.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.178.0 - 10.160.178.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.179.0 - 10.160.179.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.180.0 - 10.160.180.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.182.0 - 10.160.182.255 ( Trinidad and Tobago, Tobago, Scarborough )
 10.160.183.0 - 10.160.183.255 ( Trinidad and Tobago, Tobago, Scarborough )
 10.160.184.0 - 10.160.184.255 ( Trinidad and Tobago, Port-of-Spain, Chaguanas )
 10.160.185.0 - 10.160.185.255 ( Trinidad and Tobago, Tobago, Pointe A Pierre )
 10.160.186.0 - 10.160.186.255 ( Trinidad and Tobago, Port-of-Spain, Chaguanas )
 10.160.187.0 - 10.160.187.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.188.0 - 10.160.188.255 ( Trinidad and Tobago, Port-of-Spain, Trincity )
 10.160.192.0 - 10.160.192.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.193.0 - 10.160.193.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.194.0 - 10.160.194.255 ( Trinidad and Tobago, San Fernando, San Fernando )
 10.160.196.0 - 10.160.196.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.198.0 - 10.160.198.255 ( Trinidad and Tobago, Saint Patrick, Point Fortin )
 10.160.200.0 - 10.160.200.255 ( Trinidad and Tobago, Arima, Arima )
 10.160.202.0 - 10.160.202.255 ( Trinidad and Tobago, San Fernando, San Fernando )
 10.160.204.0 - 10.160.204.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.206.0 - 10.160.206.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.207.0 - 10.160.207.255 ( Trinidad and Tobago, Saint George, Diego Martin )
 10.160.209.0 - 10.160.209.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.210.0 - 10.160.210.255 ( Trinidad and Tobago, Arima, Sangre Grande )
 10.160.211.0 - 10.160.211.255 ( Trinidad and Tobago, Saint Patrick, Siparia )
 10.160.212.0 - 10.160.212.255 ( Trinidad and Tobago, Tobago, Tobago )
 10.160.213.0 - 10.160.213.255 ( Trinidad and Tobago, Victoria, Princes Town )
 10.160.214.0 - 10.160.214.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.160.217.0 - 10.160.217.255 ( Trinidad and Tobago, Port-of-Spain, Port of Spain )
 10.161.52.0 - 10.161.52.255 ( Grenada, Saint George, St George's )
 10.161.53.0 - 10.161.53.255 ( Grenada, Saint George, St George's )
 10.161.57.0 - 10.161.57.255 ( Grenada, Saint George, St George's )
 10.161.60.0 - 10.161.60.255 ( Grenada, Saint George, St George's )
 10.161.64.0 - 10.161.64.255 ( Antigua and Barbuda, Barbuda, St John's )
 10.161.88.0 - 10.161.88.255 ( Saint Kitts and Nevis, Saint Paul Charlestown, Charlestown )
 10.161.104.0 - 10.161.104.255 ( Saint Vincent and the Grenadines, Saint George, Kingstown )
 10.161.117.0 - 10.161.117.255 ( Saint Lucia, Castries, Castries )
 10.161.118.0 - 10.161.118.255 ( Saint Lucia, Castries, Castries )
 10.161.119.0 - 10.161.119.255 ( Saint Lucia, Castries, Castries )
 10.161.182.0 - 10.161.182.255 ( Aruba, Oranjestad )
 10.161.188.0 - 10.161.188.255 ( Aruba, San Nicolas )
 10.161.189.0 - 10.161.189.255 ( Aruba, San Nicolas )
 10.161.200.0 - 10.161.200.255 ( Aruba, Oranjestad )
 10.161.201.0 - 10.161.201.255 ( Aruba, Oranjestad )
 10.161.222.0 - 10.161.222.255 ( Sint Maarten, Philipsburg )
 10.161.226.0 - 10.161.226.255 ( Sint Maarten, Philipsburg )
 10.161.227.0 - 10.161.227.255 ( Sint Maarten, Philipsburg )
 10.161.228.0 - 10.161.228.255 ( Bonaire, Sint Eustatius, and Saba, Saba )
 10.161.241.0 - 10.161.241.255 ( Sint Maarten, Philipsburg )
 10.162.16.0 - 10.162.16.255 ( Suriname, Paramaribo, Paramaribo )
 10.162.17.0 - 10.162.17.255 ( Suriname, Paramaribo, Paramaribo )
 10.162.18.0 - 10.162.18.255 ( Suriname, Paramaribo, Paramaribo )
 10.162.22.0 - 10.162.22.255 ( Suriname, Paramaribo, Paramaribo )
 10.162.45.0 - 10.162.45.255 ( Suriname, Paramaribo, Paramaribo )
 10.162.176.0 - 10.162.176.255 ( Aruba, Oranjestad )
 10.165.4.0 - 10.165.4.255 ( Canada, Ontario, Scarborough )
 10.165.8.0 - 10.165.8.255 ( Canada, Ontario, Etobicoke )
 10.165.12.0 - 10.165.12.255 ( Canada, Ontario, Vaughan )
 10.165.16.0 - 10.165.16.255 ( Canada, Ontario, Toronto )
 10.165.28.0 - 10.165.28.255 ( Canada, Ontario, Hamilton )
 10.165.30.0 - 10.165.30.255 ( Canada, Ontario, Hamilton )
 10.165.32.0 - 10.165.32.255 ( Canada, Ontario, Kingston )
 10.165.36.0 - 10.165.36.255 ( Canada, Ontario, Belleville )
 10.165.48.0 - 10.165.48.255 ( Canada, Ontario, North York )
 10.165.68.0 - 10.165.68.255 ( Canada, Ontario, Richmond Hill )
 10.165.80.0 - 10.165.80.255 ( Canada, Ontario, Toronto )
 10.165.106.0 - 10.165.106.255 ( Canada, Ontario, Cobourg )
 10.165.114.0 - 10.165.114.255 ( Canada, Ontario, Sudbury )
 10.165.154.0 - 10.165.154.255 ( Canada, Ontario, Woodstock )
 10.165.166.0 - 10.165.166.255 ( Canada, Ontario, Windsor )
 10.165.170.0 - 10.165.170.255 ( Canada, Ontario, Sarnia )
 10.165.174.0 - 10.165.174.255 ( Canada, Ontario, London )
 10.165.186.0 - 10.165.186.255 ( Canada, Ontario, Guelph )
 10.165.190.0 - 10.165.190.255 ( Canada, Ontario, Orangeville )
 10.167.0.0 - 10.167.0.255 ( Canada, Ontario, Brantford )
 10.167.1.0 - 10.167.1.255 ( Canada, Ontario, Ancaster )
 10.167.2.0 - 10.167.2.255 ( Canada, Ontario, London )
 10.167.8.0 - 10.167.8.255 ( Canada, Ontario, Orillia )
 10.167.9.0 - 10.167.9.255 ( Canada, Ontario, Stratford )
 10.167.12.0 - 10.167.12.255 ( Canada, Ontario, Niagara Falls )
 10.167.13.0 - 10.167.13.255 ( Canada, Ontario, Cambridge )
 10.167.14.0 - 10.167.14.255 ( Canada, Ontario, Stouffville )
 10.167.39.0 - 10.167.39.255 ( Canada, Ontario, Etobicoke )
 10.167.40.0 - 10.167.40.255 ( Canada, Ontario, Oshawa )
 10.167.52.0 - 10.167.52.255 ( Canada, Ontario, Oakville )
 10.167.53.0 - 10.167.53.255 ( Canada, Ontario, Collingwood )
 10.167.54.0 - 10.167.54.255 ( Canada, Ontario, Newmarket )
 10.167.56.0 - 10.167.56.255 ( Canada, Ontario, Sault Ste Marie )
 10.167.57.0 - 10.167.57.255 ( Canada, Ontario, Nepean )
 10.167.58.0 - 10.167.58.255 ( Canada, Ontario, Ancaster )
 10.167.59.0 - 10.167.59.255 ( Canada, Ontario, Peterborough )
 10.167.76.0 - 10.167.76.255 ( Canada, Ontario, Waterloo )
 10.168.1.0 - 10.168.1.255 ( Canada, Ontario, Mississauga )
 10.169.0.0 - 10.169.0.255 ( Canada, Quebec, Montreal )
 10.169.1.0 - 10.169.1.255 ( Canada, Quebec, Montreal )
 10.169.2.0 - 10.169.2.255 ( Canada, Quebec, Montreal )
 10.169.7.0 - 10.169.7.255 ( Canada, Quebec, Montreal )
 10.169.8.0 - 10.169.8.255 ( Canada, Quebec, Montreal )
 10.169.9.0 - 10.169.9.255 ( Canada, Quebec, Montreal )
 10.169.10.0 - 10.169.10.255 ( Canada, Quebec, Montreal )
 10.169.11.0 - 10.169.11.255 ( Canada, Quebec, Montreal )
 10.169.12.0 - 10.169.12.255 ( Canada, Quebec, Montreal )
 10.169.13.0 - 10.169.13.255 ( Canada, Quebec, Montreal )
 10.169.14.0 - 10.169.14.255 ( Canada, Quebec, Montreal )
 10.169.15.0 - 10.169.15.255 ( Canada, Quebec, Montreal )
 10.169.16.0 - 10.169.16.255 ( Canada, Quebec, Montreal )
 10.169.17.0 - 10.169.17.255 ( Canada, Quebec, Montreal )
 10.169.18.0 - 10.169.18.255 ( Canada, Quebec, Montreal )
 10.169.19.0 - 10.169.19.255 ( Canada, Quebec, Montreal )
 10.169.20.0 - 10.169.20.255 ( Canada, Quebec, Montreal )
 10.169.21.0 - 10.169.21.255 ( Canada, Quebec, Montreal )
 10.169.22.0 - 10.169.22.255 ( Canada, Quebec, Montreal )
 10.169.23.0 - 10.169.23.255 ( Canada, Quebec, Montreal )
 10.169.24.0 - 10.169.24.255 ( Canada, Quebec, Montreal )
 10.169.25.0 - 10.169.25.255 ( Canada, Quebec, Montreal )
 10.169.26.0 - 10.169.26.255 ( Canada, Quebec, Montreal )
 10.169.27.0 - 10.169.27.255 ( Canada, Quebec, Montreal )
 10.169.28.0 - 10.169.28.255 ( Canada, Quebec, Montreal )
 10.169.29.0 - 10.169.29.255 ( Canada, Quebec, Montreal )
 10.169.30.0 - 10.169.30.255 ( Canada, Quebec, Montreal )
 10.169.31.0 - 10.169.31.255 ( Canada, Quebec, Montreal )
 10.169.32.0 - 10.169.32.255 ( Canada, Quebec, Montreal )
 10.169.33.0 - 10.169.33.255 ( Canada, Quebec, Montreal )
 10.169.34.0 - 10.169.34.255 ( Canada, Quebec, Montreal )
 10.169.35.0 - 10.169.35.255 ( Canada, Quebec, Montreal )
 10.169.36.0 - 10.169.36.255 ( Canada, Quebec, Montreal )
 10.169.37.0 - 10.169.37.255 ( Canada, Quebec, Montreal )
 10.169.38.0 - 10.169.38.255 ( Canada, Quebec, Montreal )
 10.169.39.0 - 10.169.39.255 ( Canada, Quebec, Montreal )
 10.169.40.0 - 10.169.40.255 ( Canada, Quebec, Montreal )
 10.169.41.0 - 10.169.41.255 ( Canada, Quebec, Montreal )
 10.169.42.0 - 10.169.42.255 ( Canada, Quebec, Montreal )
 10.169.44.0 - 10.169.44.255 ( Canada, Quebec, Montreal )
 10.169.45.0 - 10.169.45.255 ( Canada, Quebec, Montreal )
 10.169.46.0 - 10.169.46.255 ( Canada, Quebec, Montreal )
 10.169.47.0 - 10.169.47.255 ( Canada, Quebec, Montreal )
 10.169.49.0 - 10.169.49.255 ( Canada, Quebec, Montreal )
 10.169.52.0 - 10.169.52.255 ( Canada, Quebec, Montreal )
 10.169.53.0 - 10.169.53.255 ( Canada, Quebec, Montreal )
 10.169.54.0 - 10.169.54.255 ( Canada, Quebec, Montreal )
 10.169.55.0 - 10.169.55.255 ( Canada, Quebec, Montreal )
